text_akhir,polarity
rating ubah bintang youtube update mode gelap aplikasi video short koment kolom tulisan komentar muncul,negative
bagus tolong perbaiki bug yaaayaitu nonton serius serius layar hitam otomatis keluarterimakasih,negative
menemukan bug dimana bug nonton youtube lagibug disebabkan iklan lag parah youtube menonton video apapun satupun short,negative
aplikasi bagus mengganggu nonton video muncul iklan vidio muncul iklan video muncul iklan mengganggu jaringan ngelag nonton vidio asli mengganggu tolong iklannya pertimbangkan menganggu nonton vidio wajar iklannya kali kali mengganggu banget,negative
keluhan pengguna update signifikan parah diutamakan tampilan performa bug,negative
updute bug banget nonton tiba² ngelag aplikasinya dilayar hp notif youtube berhenti menanggapi disitu pilihan tunggu tutup aplikasi pas masuk nonton eh keulang gitu tolong youtube perbaiki bug youtube kayak aman nyaman nonton kartun drama² gitunah puasa bener² diuji youtube nonton tenang,positive
buka youtube alihkan short ganggu banget videonya relevan memuakkan bagiku report paksa algoritma suka berubah fitur hilangkan nonaktifkan emosi buka lihat video tonton dipaksa nonton short,negative
update membuka youtube youtube langsung otomatis play vidio handphone kadang freeze tolong fitur ditambah terimakasih,positive
yt skrg gampang error komen kadang hilang kadang live chat muncul nyepam kadang buffering jaringan bagus buka app,positive
youtube butuh duit iklan iklan ganggu udh dikit kelewatan close nongol pas lihat video fullscreen icon iklannya gede,negative
muak aplikasi offline online ngelang download video playlist biar memudahkan ngefreezeini hape ram rom huhvideonya pendekpendek ngelag parah merespon gila emang platform lamalama lihat video dibawah capek scroll pas putar patahpalah kesini hancur,negative
bug menyebalkan membuka aplikasi youtube shortcut full hitam suara layarnya hitam membukanya playstore biar tampilannya normal,negative
kebiasaan youtube eror habis iklan langsung suaranya buka aplikasi suara muncul pas youtube dibuka suara hilang nonton youtube bersihin cache,negative
tolong terganggu iklan komersial menipu mencurigakan scam iklaniklannya editan video salinan negara kecerdasan buatan ai memanipulasi memperdaya orang menonton iklaniklan,positive
update versi terbaru bug parah banget nonton trus perbesar video bayangan disisi sisi video bayanganya kayak coba hp versi terbaru tolong perbaiki,positive
tolong youtubekadang aplikasi ngebug ngelag sendiriyang tiba² berhentiga dibuka chace bersihkan versi terbarutapi berubahmohon youtube diperbaiki,negative
youtube subtitle aktif alias pilihan subtitle minus youtube kebanyakan iklan malas,negative
nonton youtube serasa nonton iklan youtube iklannya selasela video video tonton muncul iklan pojok tutup mengganggu,negative
maap sebenernya biaya yt premium informasi pengeluaran nama premium yt supremebulan yt youtube mengambil tanggal rp jgatrus tanggal total yt premium rp sebenernya youtube premium tulisan pas langganan potong otomatis rp segitu,negative
video download download nonton offline mengaktifkan kuotawifi loading memuat video lihat playlist tibatiba loading muncul video video playlist masuk menunggu loading mengganggu,negative
aplikasi ok aplikasi deh mantap cmn bug video tonton buram macet loading lambat update buruk hasilnya tolong perbaiki,negative
perkara nonton youtube masuk pengatuan hapus data apk youtubeabis youtube pakepas sdh trus masuk robotnya muncul lagimasa nonton youtube pengaturan hapus datacapek bangetmo upgrade,negative
suka aplikasi youtube nyatetapi translate tolong adakan translate otomatis video apapun biar mudah mengertitetapi apk youtube perbaiki tolong selebihnya keren apk wajib download teman-teman update kali update tolong perbaiki sesuai updatedapat versi terbaru sekian thank,positive
bug putar video iklan langsung mute suara iklan video mundurkan suara video tsb perbaiki bugnya terima kasih,positive
assalamualaikum warahmatullahi wabarakatuh konten kreator bikin video short aplikasi suara tombol remix hp tombol cari cari tombol,negative
suara aplikasinya tws outputnya dipilih tws aplikasi normalhanya youtube ngebug,negative
iklan detik lihat iklan detik skip ganggu ganggu please youtube greedy ads,negative
aplikasi dh bagus nonton video anime update nge bug double iklan tombol komen amaa like gk kepencet bug tolong developer bikin apk lihat bug mohon perbaikan,negative
halo youtube tolong perbaiki bug halaman short video video pendek bug berulang kali memutar video short video muncul bug memutar video short swipe video mendapati video short muncul bug video mengganggu,negative
update terbaru bagus anjlok update buka kolom komentar chat publik blank layar putih komentar chat komentar video komentar pas cek mengecewakan,negative
menemukan bug dimana memutar video muncul iklan iklan diputar mencoba video hasilnya,neutral
youtube bagus banget nonton asik menonton loading jaringan bagus coba relog tolong perbaiki terimakasih,positive
halo dev tolong perbaiki bug nonton youtube nge pause gk nyaman nonton buka chrome tolong perbaiki dev hp infinix hot,positive
membuka youtubetidak buglag apapunnamun menonton videomalah jalanpadahal wifitiktok bisaroblox bisacuma youtube bisatolong perbaiki,neutral
disuruh login melulu iklan upload video lambat banget loading penelusuran suara kadang berfungsi normal video spam judol lain-lain,negative
aplikasi bagus saran tolong fitur playlist video offline download video dowload lumayan ber episode menyarankan fitur pusing mencari video tonton drama dowload,negative
tolong fitur menonaktifkan short youtube fitur membantu terkadang lupa khusus anakanak short youtube membantu alangkah fitur menonaktifkan short youtube,positive
aplikasi suka error nonton video pindahin video error beranda short suka kali error suka aplikasi update error,negative
baplikasinya bagus bagus mengirim pesan pribadi berbagi media video foto pengguna tolong memaruh link bio deskripsi komentar short memudahkan,neutral
aduhh tolong youtube bug bar tombol bawahnya kebawah susah ganti video short tolong perbaiki,negative
youtobe upload video video kena hak cipta tu video tntang keseharian dihakciptain hapus video dh diupload tolong dng min jngn main hak ciptain naiknya subscriber kena hak cipta tolong min diperbaiki,negative
membuka menonton loding trus gk putar vidio jaringan ok data wifi gk putar vidio salah hp,negative
kejadian semalam youtube mengalami error dimana masuk aplikasi tibatiba video beranda youtube terputar coba hapus data masuk aplikasi tolong diperbaiki meresahkan,negative
menonton video subtitle muncul iklan iklan selesai video lag subtitel muncul menitan tolong diperbaiki,negative
iklan doang anj jarang iklannya nonton video iklan mencari yt cari mencari munculnya sumpah aplikasi uninstall uda buang,negative
maaf kasih rating pas masuk short komen tombol ngetiknya dibawah tulisan beranda short dlldan lainlain pas nonton short update rusak aplikasinyatolong bug pencet komen masuk ditekan berkalikali ditahan,negative
berlangganan youtube music ntah tersambung youtube janjinya beli membayar lagsung diputus berlakunya,negative
bagus bug bikin kesel asyikasyiknya nonton tibatiba youtube berulang kali tolong perbaiki apk,negative
ngebug parah update video short komentar buka ui youtube ngebug kadang mendelep kadang kacau perbaiki min,positive
suka aplikasi suka trus apdet barapa apdet adped terusssss yutup apdet vidio download gambar rabun gitu plissss,negative
menemukan bug mengalami black screen mendownload vidio bersamaan tolong ditindaklanjuti diperbaiki terima kasih,positive
